 

stn    time           rre150d0
LSN    19010620            0.0
LSN    19010621            0.0
LSN    19010622            0.0
LSN    19010623            3.8
LSN    19010624            0.6
LSN    19010625            0.0
LSN    19010626            0.0
LSN    19010627            0.0
LSN    19010628            1.5
LSN    19010629            1.1
LSN    19010630            7.3
LSN    19010701            6.8
LSN    19010702           13.3
LSN    19010703           24.0
LSN    19010704            7.3
LSN    19010705            0.1
LSN    19010706            0.0
LSN    19010707            0.0
LSN    19010708            0.0
LSN    19010709            0.0
LSN    19010710            0.0
LSN    19010711            0.0
LSN    19010712            0.0
LSN    19010713            0.0
LSN    19010714            0.2
LSN    19010715            0.5
LSN    19010716            0.0
LSN    19010717            0.0
LSN    19010718            0.0
LSN    19010719            0.0
LSN    19010720            7.8
LSN    19010721            0.0
LSN    19010722            3.3
LSN    19010723            4.0
LSN    19010724            4.8
LSN    19010725            0.0
LSN    19010726            0.0
LSN    19010727           10.0
LSN    19010728           26.7
LSN    19010729            2.4
LSN    19010730            0.0
LSN    19010731           10.8
LSN    19010801           30.7
LSN    19010802           16.5
LSN    19010803            0.0
LSN    19010804            0.0
LSN    19010805            0.0
LSN    19010806            1.1
LSN    19010807            0.0
LSN    19010808            0.0
LSN    19010809            0.0
LSN    19010810            0.0
LSN    19010811           21.3
LSN    19010812           10.1
LSN    19010813            0.0
LSN    19010814            0.0
LSN    19010815            6.2
LSN    19010816            0.0
LSN    19010817            0.0
LSN    19010818            0.0
LSN    19010819            0.0
LSN    19010820            0.0
LSN    19010821            0.0
LSN    19010822            0.0
LSN    19010823            0.0
LSN    19010824            0.0
LSN    19010825           33.9
LSN    19010826            5.4
LSN    19010827            1.3
LSN    19010828            6.6
LSN    19010829            0.0
LSN    19010830            0.0
LSN    19010831            1.4
LSN    19010901            2.0
LSN    19010902            0.6
LSN    19010903           19.2
LSN    19010904            7.8
LSN    19010905            0.4
LSN    19010906            1.1
LSN    19010907            0.0
LSN    19010908            0.0
LSN    19010909            3.0
LSN    19010910           10.0
LSN    19010911           46.8
LSN    19010912            2.4
LSN    19010913           12.0
LSN    19010914            3.2
LSN    19010915            5.2
LSN    19010916            0.0
LSN    19010917           13.8
LSN    19010918            0.0
LSN    19010919            0.0
LSN    19010920            0.1
LSN    19010921            0.1
LSN    19010922            0.0
LSN    19010923            0.0
LSN    19010924           14.6
LSN    19010925            8.8
LSN    19010926            1.1
LSN    19010927            0.0
LSN    19010928            0.0
LSN    19010929            0.0
LSN    19010930            0.0
LSN    19011001            2.4
LSN    19011002            1.6
LSN    19011003            9.9
LSN    19011004            1.7
LSN    19011005            0.0
LSN    19011006            6.0
LSN    19011007            2.8
LSN    19011008            1.5
LSN    19011009            6.6
LSN    19011010            0.0
LSN    19011011            0.0
LSN    19011012            0.0
LSN    19011013            0.0
LSN    19011014            0.0
LSN    19011015            0.0
LSN    19011016            0.0
LSN    19011017            0.3
LSN    19011018            0.0
LSN    19011019            0.0
LSN    19011020            1.5
LSN    19011021            2.5
LSN    19011022           21.2
LSN    19011023            0.2
LSN    19011024            0.0
LSN    19011025            0.0
LSN    19011026            0.0
LSN    19011027            0.0
LSN    19011028            0.0
LSN    19011029            0.0
LSN    19011030            0.0
LSN    19011031            0.0
LSN    19011101            0.0
LSN    19011102            0.0
LSN    19011103            0.0
LSN    19011104            0.0
LSN    19011105            0.0
LSN    19011106            0.0
LSN    19011107            0.0
LSN    19011108            0.0
LSN    19011109            0.0
LSN    19011110            0.0
LSN    19011111            0.0
LSN    19011112            0.0
LSN    19011113           17.4
LSN    19011114            1.1
LSN    19011115            7.0
LSN    19011116           19.2
LSN    19011117            0.0
LSN    19011118            0.0
LSN    19011119            0.0
LSN    19011120            0.0
LSN    19011121            0.0
LSN    19011122            1.2
LSN    19011123            0.0
LSN    19011124            0.0
LSN    19011125            0.0
LSN    19011126            0.0
LSN    19011127            0.0
LSN    19011128            0.0
LSN    19011129            0.0
LSN    19011130            0.0
LSN    19011201            0.0
LSN    19011202            0.0
LSN    19011203            0.0
LSN    19011204            0.0
LSN    19011205            0.0
LSN    19011206            0.0
LSN    19011207            0.0
LSN    19011208            4.6
LSN    19011209           13.0
LSN    19011210            4.4
LSN    19011211            4.2
LSN    19011212            0.4
LSN    19011213           16.5
LSN    19011214            2.0
LSN    19011215            1.8
LSN    19011216            0.0
LSN    19011217            0.5
LSN    19011218            0.0
LSN    19011219            0.9
LSN    19011220            0.2
LSN    19011221            0.0
LSN    19011222            0.0
LSN    19011223            0.0
LSN    19011224            8.5
LSN    19011225            7.2
LSN    19011226            0.8
LSN    19011227            4.3
LSN    19011228            1.5
LSN    19011229           24.5
LSN    19011230            0.0
LSN    19011231            0.0
LSN    19020101            1.9
LSN    19020102           12.9
LSN    19020103            0.0
LSN    19020104            0.0
LSN    19020105            0.4
LSN    19020106            0.0
LSN    19020107            0.0
LSN    19020108            0.0
LSN    19020109            0.0
LSN    19020110            0.0
LSN    19020111            0.0
LSN    19020112            0.0
LSN    19020113            0.0
LSN    19020114            0.0
LSN    19020115            0.0
LSN    19020116            0.0
LSN    19020117            0.0
LSN    19020118            0.0
LSN    19020119            0.0
LSN    19020120            0.0
LSN    19020121            0.0
LSN    19020122            0.0
LSN    19020123            0.0
LSN    19020124           10.0
LSN    19020125            4.3
LSN    19020126            4.2
LSN    19020127           13.2
LSN    19020128            3.4
LSN    19020129            0.9
LSN    19020130            0.0
LSN    19020131            0.0
LSN    19020201            0.1
LSN    19020202            3.3
LSN    19020203            1.4
LSN    19020204            0.0
LSN    19020205            0.0
LSN    19020206           20.8
LSN    19020207           21.3
LSN    19020208            7.3
LSN    19020209           19.0
LSN    19020210            1.6
LSN    19020211            3.0
LSN    19020212            6.9
LSN    19020213           14.5
LSN    19020214            9.8
LSN    19020215            0.1
LSN    19020216            0.0
LSN    19020217            0.0
LSN    19020218            0.0
LSN    19020219            0.0
LSN    19020220            0.0
LSN    19020221            0.0
LSN    19020222            0.0
LSN    19020223            0.0
LSN    19020224            2.0
LSN    19020225            1.4
LSN    19020226            0.2
LSN    19020227           24.5
LSN    19020228           13.0
LSN    19020301            6.0
LSN    19020302            0.2
LSN    19020303            0.0
LSN    19020304            0.0
LSN    19020305            0.0
LSN    19020306            0.0
LSN    19020307            0.0
LSN    19020308            2.8
LSN    19020309            3.8
LSN    19020310            4.2
LSN    19020311            0.0
LSN    19020312            0.0
LSN    19020313            0.0
LSN    19020314            0.0
LSN    19020315            4.1
LSN    19020316            4.8
LSN    19020317            0.0
LSN    19020318            0.0
LSN    19020319            0.0
LSN    19020320            3.0
LSN    19020321           13.5
LSN    19020322           25.7
LSN    19020323            2.2
LSN    19020324            5.5
LSN    19020325            8.3
LSN    19020326            4.3
LSN    19020327           15.2
LSN    19020328            2.0
LSN    19020329            3.1
LSN    19020330            8.9
LSN    19020331            0.4
LSN    19020401            0.0
LSN    19020402            0.5
LSN    19020403            2.1
LSN    19020404            0.2
LSN    19020405            0.0
LSN    19020406            0.0
LSN    19020407            0.0
LSN    19020408            0.0
LSN    19020409            5.1
LSN    19020410            3.3
LSN    19020411            0.2
LSN    19020412            3.0
LSN    19020413            0.0
LSN    19020414            0.0
LSN    19020415            0.2
LSN    19020416           22.4
LSN    19020417            7.1
LSN    19020418            0.1
LSN    19020419            0.0
LSN    19020420            8.7
LSN    19020421            0.0
LSN    19020422            9.8
LSN    19020423            1.0
LSN    19020424            0.0
LSN    19020425            0.0
LSN    19020426           10.8
LSN    19020427            0.0
LSN    19020428            2.4
LSN    19020429            0.9
LSN    19020430            0.2
LSN    19020501            4.6
LSN    19020502            0.0
LSN    19020503            9.3
LSN    19020504            3.2
LSN    19020505            5.4
LSN    19020506            1.1
LSN    19020507            0.2
LSN    19020508            0.2
LSN    19020509            0.3
LSN    19020510            0.0
LSN    19020511            2.5
LSN    19020512            0.0
LSN    19020513            2.0
LSN    19020514            0.0
LSN    19020515            0.8
LSN    19020516            6.5
LSN    19020517           39.6
LSN    19020518            7.0
LSN    19020519            2.6
LSN    19020520            0.7
LSN    19020521            0.0
LSN    19020522            2.0
LSN    19020523            0.0
LSN    19020524            0.0
LSN    19020525            0.0
LSN    19020526            0.0
LSN    19020527            0.0
LSN    19020528            0.1
LSN    19020529            0.0
LSN    19020530            0.0
LSN    19020531            0.0
LSN    19020601            0.0
LSN    19020602            0.0
LSN    19020603            0.6
LSN    19020604            3.9
LSN    19020605            0.0
LSN    19020606            0.0
LSN    19020607            6.7
LSN    19020608            0.7
LSN    19020609            0.7
LSN    19020610            0.0
LSN    19020611            1.4
LSN    19020612            7.3
LSN    19020613            4.0
LSN    19020614            2.0
LSN    19020615            0.0
LSN    19020616            0.0
LSN    19020617           10.0
LSN    19020618            0.8
LSN    19020619            0.0
LSN    19020620           13.3
LSN    19020621            3.0
LSN    19020622            0.0
LSN    19020623            0.0
LSN    19020624            0.0
LSN    19020625            0.0
LSN    19020626            0.0
LSN    19020627            0.0
LSN    19020628            0.0
LSN    19020629            0.2
LSN    19020630            0.0
LSN    19020701            4.3
LSN    19020702            5.6
LSN    19020703            0.0
LSN    19020704            0.0
LSN    19020705            0.0
LSN    19020706            0.0
LSN    19020707            0.0
LSN    19020708            0.0
LSN    19020709           15.5
LSN    19020710           20.0
LSN    19020711            0.0
LSN    19020712            0.0
LSN    19020713            0.0
LSN    19020714            0.0
LSN    19020715            3.5
LSN    19020716            2.4
LSN    19020717            0.6
LSN    19020718            2.4
LSN    19020719            0.0
LSN    19020720            1.1
LSN    19020721            1.1
LSN    19020722            0.0
LSN    19020723            0.0
LSN    19020724            9.1
LSN    19020725            0.0
LSN    19020726            0.0
LSN    19020727            5.0
LSN    19020728            0.0
LSN    19020729            0.0
LSN    19020730            0.0
LSN    19020731            7.2
LSN    19020801           23.9
LSN    19020802           18.7
LSN    19020803            0.0
LSN    19020804            0.0
LSN    19020805            0.0
LSN    19020806            0.0
LSN    19020807            0.0
LSN    19020808            5.7
LSN    19020809            0.0
LSN    19020810            2.2
LSN    19020811            0.1
LSN    19020812            2.2
LSN    19020813            0.2
LSN    19020814            0.0
LSN    19020815            0.0
LSN    19020816           18.7
LSN    19020817           10.0
LSN    19020818            0.0
LSN    19020819           15.4
LSN    19020820           25.4
LSN    19020821            0.0
LSN    19020822            0.0
LSN    19020823            0.0
LSN    19020824            4.0
LSN    19020825           25.7
LSN    19020826            7.2
LSN    19020827            0.2
LSN    19020828            1.1
LSN    19020829            0.5
LSN    19020830            1.3
LSN    19020831            3.1
LSN    19020901            0.5
LSN    19020902            0.0
LSN    19020903            0.0
LSN    19020904            2.4
LSN    19020905           17.1
LSN    19020906            8.0
LSN    19020907            0.0
LSN    19020908            0.0
LSN    19020909            0.0
LSN    19020910            1.9
LSN    19020911           10.0
LSN    19020912           13.4
LSN    19020913            5.3
LSN    19020914            0.0
LSN    19020915            0.0
LSN    19020916            0.0
LSN    19020917            0.6
LSN    19020918            0.0
LSN    19020919            0.0
LSN    19020920            0.0
LSN    19020921            0.0
LSN    19020922            0.0
LSN    19020923            0.0
LSN    19020924            0.0
LSN    19020925            0.0
LSN    19020926            0.0
LSN    19020927            0.0
LSN    19020928            0.0
LSN    19020929            5.4
LSN    19020930            9.5
LSN    19021001            0.3
LSN    19021002           14.5
LSN    19021003            0.0
LSN    19021004            9.7
LSN    19021005            5.3
LSN    19021006            0.0
LSN    19021007            2.1
LSN    19021008            1.1
LSN    19021009            0.4
LSN    19021010            6.1
LSN    19021011            6.1
LSN    19021012            0.1
LSN    19021013            0.0
LSN    19021014            3.6
LSN    19021015            0.0
LSN    19021016           30.1
LSN    19021017            1.5
LSN    19021018            0.9
LSN    19021019            3.2
LSN    19021020            0.4
LSN    19021021            7.0
LSN    19021022            2.1
LSN    19021023            0.3
LSN    19021024            0.0
LSN    19021025            0.0
LSN    19021026            0.0
LSN    19021027            0.0
LSN    19021028            0.0
LSN    19021029            0.0
LSN    19021030            0.0
LSN    19021031            0.0
LSN    19021101            0.0
LSN    19021102            0.0
LSN    19021103            0.0
LSN    19021104            0.0
LSN    19021105            0.0
LSN    19021106            0.0
LSN    19021107            1.9
LSN    19021108            0.0
LSN    19021109           18.5
LSN    19021110            0.0
LSN    19021111            0.0
LSN    19021112            0.0
LSN    19021113            0.0
LSN    19021114            0.0
LSN    19021115            0.0
LSN    19021116            0.0
LSN    19021117            1.0
LSN    19021118            3.6
LSN    19021119            1.5
LSN    19021120            5.1
LSN    19021121            0.0
LSN    19021122            0.0
LSN    19021123            0.0
LSN    19021124            0.0
LSN    19021125            8.4
LSN    19021126           27.2
LSN    19021127            0.0
LSN    19021128            1.8
LSN    19021129            0.0
LSN    19021130            1.3
LSN    19021201            5.8
LSN    19021202            2.2
LSN    19021203            4.0
LSN    19021204            0.5
LSN    19021205            0.0
LSN    19021206            0.0
LSN    19021207            3.1
LSN    19021208            0.0
LSN    19021209            0.0
LSN    19021210            0.0
LSN    19021211            0.0
LSN    19021212            0.0
LSN    19021213            0.0
LSN    19021214            0.0
LSN    19021215            1.9
LSN    19021216            5.8
LSN    19021217            1.4
LSN    19021218            7.6
LSN    19021219            6.2
LSN    19021220            8.0
LSN    19021221            6.8
LSN    19021222            0.0
LSN    19021223            0.0
LSN    19021224            0.0
LSN    19021225            0.0
LSN    19021226            0.0
LSN    19021227            0.0
LSN    19021228            0.0
LSN    19021229            3.7
LSN    19021230            8.4
LSN    19021231            0.0
LSN    19030101            0.0
LSN    19030102            7.9
LSN    19030103           15.0
LSN    19030104            2.5
LSN    19030105            0.0
LSN    19030106            0.0
LSN    19030107            0.0
LSN    19030108            0.0
LSN    19030109            0.0
LSN    19030110            1.1
LSN    19030111           18.5
LSN    19030112            2.3
LSN    19030113            0.0
LSN    19030114            0.0
LSN    19030115            0.0
LSN    19030116            1.1
LSN    19030117            1.0
LSN    19030118            0.0
LSN    19030119            0.0
LSN    19030120            0.0
LSN    19030121            0.0
LSN    19030122            0.4
LSN    19030123            0.0
LSN    19030124            0.0
LSN    19030125            0.0
LSN    19030126            0.0
LSN    19030127            0.0
LSN    19030128            0.0
LSN    19030129            0.0
LSN    19030130            0.0
LSN    19030131            0.0
LSN    19030201           18.1
LSN    19030202            5.6
LSN    19030203            0.0
LSN    19030204            0.0
LSN    19030205            0.0
LSN    19030206            0.0
LSN    19030207            0.0
LSN    19030208            0.0
LSN    19030209            0.2
LSN    19030210            0.0
LSN    19030211            0.0
LSN    19030212            0.0
LSN    19030213            0.0
LSN    19030214            0.0
LSN    19030215            1.0
LSN    19030216            0.0
LSN    19030217            0.0
LSN    19030218            0.0
LSN    19030219            0.0
LSN    19030220            0.0
LSN    19030221            0.0
LSN    19030222            0.0
LSN    19030223            2.5
LSN    19030224            0.0
LSN    19030225            0.0
LSN    19030226            2.4
LSN    19030227            0.1
LSN    19030228            6.5
LSN    19030301            1.9
LSN    19030302            7.0
LSN    19030303            2.9
LSN    19030304            0.0
LSN    19030305            1.7
LSN    19030306            2.7
LSN    19030307            0.0
LSN    19030308            2.9
